spp,stand,plot,code,dbh,logs,cond,cut,
white pine,5,13,22,25,22223229,6,,
white pine,,,22,10,222222,3,,
soft maple,,,17,7,2222,3,,
fir,,,3,6,222,2,,
tamarack,,,20,8,22222,3,,
tamarack,,,20,11,222222,2,,
fir,5,14,3,6,222,2,,
hemlock,,,10,12,2232,3,,
fir,,,3,12,222222,2,,
ash,,,1,7,229,3,,
elm,,,8,8,,5,,
yellow birch,5,15,23,16,39,5,,
yellow birch,,,23,6,39,5,,
yellow birch,,,23,15,2339,3,,
fir,,,3,13,,6,,
yellow birch,,,23,8,,6,,
soft maple,2,16,17,12,22339,2,,
fir,,,3,12,222222,3,1,
spruce,,,18,14,22222222,1,,
fir,,,3,11,222222,2,,
fir,,,3,8,2222,4,1,
paper birch,,,13,16,22229,3,1,
spruce,,,18,10,222222,1,,
fir,,,3,9,22229,4,1,
spruce,,,18,14,2222222,1,,
soft maple,,,17,8,3229,4,1,
soft maple,,,17,8,9,5,1,
spruce,,,18,11,2222222,2,,
spruce,,,18,8,22223,3,,
spruce,,,18,8,222229,3,,
soft maple,,,17,17,3339,5,1,
soft maple,,22,17,14,3339,5,1,
beech,,,5,17,339,5,1,
paper birch,,,13,11,2229,3,1,
yellow birch,,,23,10,339,5,1,
yellow birch,,,23,10,339,5,1,
soft maple,,,17,14,22239,3,1,
soft maple,,,17,16,32239,3,1,
beech,,,5,7,,5,1,
beech,,,5,12,339,5,1,
yellow birch,,23,23,12,1229,1,,
soft maple,,,17,12,33229,4,1,
soft maple,,,17,9,9,5,1,
soft maple,,,17,18,39,5,1,
yellow birch,,,23,15,1229,1,,
yellow birch,,,23,15,9229,4,1,
yellow birch,,,23,15,1139,1,,
hard maple,,,9,10,239,3,,
fir,,19,3,6,222,2,,
fir,,,3,9,2222,3,,
yellow birch,,,23,15,339,5,1,
fir,,,3,12,2222222,2,,
spruce,,,18,13,222222,1,,
fir,,,3,10,22222,2,,
spruce,,18,18,10,2229,3,,
fir,,,3,11,222,2,,
spruce,,,18,12,222222,2,,
white pine,,,22,20,22223222,2,,
black cherry,,10,6,13,1229,2,,
fir,,,3,8,22229,3,,
yellow birch,,,23,11,223,3,,
yellow birch,,,23,14,2239,3,,
yellow birch,,,23,15,92223,3,,
yellow birch,,,23,11,22233,2,,
yellow birch,,,23,10,2229,3,,
hemlock,,,10,20,2222333,3,,
yellow birch,,12,23,15,29,3,,
hard maple,,,9,12,12233,1,,
hard maple,,,9,10,2223,4,,
yellow birch,,,23,20,9333,5,,
hemlock,,,10,18,222239,2,,
yellow birch,,,23,14,229,6,,
hemlock,,,10,15,3222,3,,
yellow birch,,,23,16,22239,3,,
yellow birch,,,23,14,132239,2,,
yellow birch,,11,23,10,9,5,,
hemlock,,,10,14,2222222,2,,
yellow birch,,,23,16,22229,2,,
hemlock,,,10,12,2223,3,,
white pine,,,22,15,22222222,2,,
hemlock,,,10,15,22229,3,,
soft maple,,,17,8,9,5,,
soft maple,,,17,10,339,5,,
fir,,,3,6,222222,2,,
yellow birch,,,23,10,29,3,,
spruce,,21,18,14,229,3,,
spruce,,,18,12,2222222,2,,
fir,,,3,9,2239,3,,
soft maple,,,17,8,2229,3,,
paper birch,,,13,16,2239,6,,
paper birch,,,13,17,29,3,,
spruce,,,18,9,222,3,,
paper birch,,,13,17,39,5,,
soft maple,,,17,9,2229,3,,
soft maple,,,17,11,29229,3,,
white pine,,,22,23,22222229,1,,
black cherry,,,6,15,29,3,,
soft maple,,,17,8,22229,2,,
hard maple,,,9,6,1229,2,,
spruce,,,18,15,2222322,2,,
hemlock,,6,10,15,22229,3,1,
hemlock,,,10,7,9,5,,
hemlock,,,10,12,22229,3,,
soft maple,,,17,10,39,6,1,
hard maple,,,9,9,3339,3,,
soft maple,,,17,17,22229,2,,
soft maple,,,17,9,2222233,2,,
soft maple,,,17,12,932339,3,1,
hemlock,,,10,25,5222222,3,,
hemlock,,,10,18,222222,2,,
paper birch,,,13,11,1229,2,,
paper birch,,,13,10,13239,2,,
hemlock,,5,10,15,2222222,2,,
hemlock,,,10,14,2222222,2,,
paper birch,,,13,12,1239,2,,
soft maple,,,17,7,339,5,,
hemlock,,,10,15,52222,3,1,
hemlock,,,10,13,223,3,1,
hemlock,,,10,15,2222222,2,,
hemlock,,,10,14,252222,3,1,
spruce,,,18,10,222222,2,,
paper birch,,,13,9,2239,3,,
aspen,,4,2,17,955,5,,
ash,,,1,14,22239,3,,
hemlock,,,10,8,222,2,,
hard maple,,,9,9,3339,5,,
hemlock,,,10,15,22222,2,,
aspen,,,2,18,2222239,3,,
aspen,,,2,20,9,6,,
spruce,,3,18,11,2222222,2,,
spruce,,,18,11,2222222,2,,
hemlock,,,10,14,5333,5,,
hemlock,,,10,22,32322,3,,
white pine,,,22,21,2222222,2,,
aspen,,,2,20,5,5,,
aspen,,,2,19,22222,3,,
hemlock,,,10,17,522233,3,,
aspen,,,2,24,5,5,,
spruce,,,18,10,2222222,2,,
hemlock,,,10,20,52222,3,,
hemlock,,,10,15,22223,3,,
yellow birch,,,23,13,223,3,,
spruce,,,18,10,222222,3,,
hemlock,,,10,8,222,2,,
fir,,,3,6,2222,3,,
yellow birch,,,23,14,39,6,,
yellow birch,,,23,13,1239,2,,
hemlock,,,10,10,2222,2,,
soft maple,,2,17,12,32239,3,,
soft maple,,,17,14,22239,2,,
yellow birch,,,23,11,1329,2,,
hemlock,,,10,6,22,2,,
hemlock,,,10,14,22222,2,,
yellow birch,,,23,12,2339,3,,
hemlock,,,10,13,2222,2,,
yellow birch,,,23,19,1239,2,,
hemlock,,,10,12,2222,2,,
hemlock,,,10,20,2222222,2,,
yellow birch,,1,23,13,339,5,,
spruce,,,18,11,222222,2,,
hemlock,,,10,18,222222,2,,
hemlock,,,10,18,2359,3,,
yellow birch,,,23,9,2229,3,,
yellow birch,,,23,10,22239,3,,
yellow birch,,,23,19,22239,2,,
yellow birch,,,23,15,1229,2,,
spruce,,,18,14,22229,3,,
hemlock,,,10,19,533,5,,
white pine,,20,22,22,2222233,2,,
soft maple,,,17,8,23339,5,,
soft maple,,,17,15,59,5,,
soft maple,,,17,17,39,5,,
soft maple,,,17,13,2339,3,,
soft maple,,,17,8,22239,3,,
spruce,,,18,12,2222222,2,,
spruce,,,18,8,22222,3,,
paper birch,,,13,17,29,3,,
soft maple,,,17,6,223,3,,
soft maple,,,17,12,2229,2,,
soft maple,,,17,10,2939,3,,
hard maple,,,9,13,9,5,,
soft maple,,,17,7,2229,3,,
white pine,,17,22,23,22229,3,,
soft maple,,,17,15,2239,3,,
spruce,,,18,14,222222,3,,
fir,,,3,10,22222,3,,
spruce,,,18,9,22222,3,,
beech,,,5,6,9,5,,
spruce,,9,18,9,22222,2,,
spruce,,,18,10,222222,2,,
tamarack,,,20,11,22222,2,,
soft maple,,,17,13,3339,5,,
paper birch,,,13,7,222,3,,
paper birch,,,13,7,2222,3,,
spruce,,,18,9,22222,3,,
spruce,,,18,11,222222,2,,
spruce,,,18,8,22222,3,,
soft maple,,,17,11,2239,2,,
tamarack,,,20,8,222229,3,,
spruce,,,18,14,2222222,2,,
soft maple,,,17,8,22239,2,,
spruce,,,18,8,222222,3,,
hemlock,,,10,11,22222,3,,
spruce,,,18,13,2222222,2,,
spruce,,,18,7,22222,3,,
soft maple,,,17,8,22239,2,,
spruce,,,18,9,22222,2,,
soft maple,,,17,12,22229,2,,
soft maple,,,17,6,222339,2,,
white pine,,8,22,25,22223239,2,,
paper birch,,,13,14,229,3,,
spruce,,,18,13,2222222,2,,
soft maple,,,17,17,339,5,,
soft maple,,,17,17,239,3,,
soft maple,,,17,10,22239,3,,
soft maple,,,17,14,9,5,,
soft maple,,,17,6,333,5,,
paper birch,,,13,16,19,3,,
spruce,,,18,18,33333,5,,
soft maple,,,17,21,9,5,,
