spp,stand,plot,code,dbh,logs,cond,cut,
yellow birch,3,15,23,6,9,5,,
yellow birch,,,23,6,9,5,,
yellow birch,,,23,9,2329,3,,
paper birch,,,13,11,12239,2,,
elm,,,8,9,9,5,,
yellow birch,,,23,19,39,5,,
ash,,,1,24,2339,3,,
hard maple,,,9,20,2239,3,,
paper birch,,,13,14,229,3,,
ash,,,1,18,11229,2,,
ash,,,1,20,229,3,,
ash,,,1,17,2239,3,,
hard maple,,,9,50,9,5,,
ash,,14,1,22,2239,3,,
elm,,,8,12,9,5,,
fir,,,3,6,222,2,,
fir,,,3,7,222,2,,
fir,,,3,4,22,2,,
hemlock,,,10,20,9,5,,
yellow birch,,,23,31,9,5,,
hard maple,,,9,27,339,5,,
hard maple,,,9,32,66639,5,,
hophornbeam,1,13,12,8,9,5,,
beech,,,5,4,222,2,,
hard maple,,,9,26,2239,3,,
hard maple,,,9,18,222329,2,,
hard maple,,,9,13,1239,2,,
beech,,,5,15,339,5,,
hard maple,,,9,8,9,5,,
beech,,,5,7,322,3,,
hard maple,,,9,22,222239,2,,
hard maple,,,9,18,63229,6,,
hard maple,,12,9,20,22339,3,,
beech,,,5,14,22223,2,,
hard maple,,,9,24,22229,2,,
beech,,,5,11,9,5,,
hard maple,,,9,22,229,3,,
beech,,,5,8,9,5,,
beech,,,5,15,9,5,,
beech,,,5,4,9,5,,
ash,,,1,16,223239,3,,
yellow birch,,11,23,4,119,2,,
hard maple,,,9,22,239,3,,
hard maple,,,9,28,359,3,,
hard maple,,,9,19,229,3,,
yellow birch,,,23,6,122,2,,
yellow birch,,,23,6,29,3,,
hard maple,,,9,15,22339,3,,
beech,,,5,22,2329,6,,
beech,,,5,16,9,5,,
hard maple,,,9,16,2229,3,,
hard maple,,21,9,12,62239,3,,
hard maple,,,9,18,222339,2,,
basswood,,,4,11,22239,2,,
ash,,,1,17,112229,2,,
ash,,,1,16,11229,2,,
ash,,,1,15,1229,3,,
ash,,,1,16,11222,2,,
yellow birch,,,23,15,239,3,,
yellow birch,,,23,5,9,5,,
hophornbeam,,,12,4,9,5,,
hard maple,2,31,9,9,339,5,,
hard maple,,,9,11,222339,3,,
hard maple,,,9,12,223229,3,,
yellow birch,,,23,8,9,5,,
hard maple,,,9,17,32239,3,,
hard maple,,,9,18,22229,6,,
hard maple,,,9,13,3239,3,,
hemlock,,,10,5,22,3,,
hard maple,,,9,15,22239,3,,
beech,,,5,6,9,5,,
hard maple,,,9,17,339,5,,
hard maple,,,9,19,39,5,,
hard maple,,,9,11,322339,3,,
yellow birch,,,23,22,9,5,,
hard maple,,,9,12,52239,3,,
hard maple,,,9,10,2239,3,,
hemlock,,,10,10,222,2,,
hard maple,,,9,16,22339,3,,
hard maple,,41,9,19,1229,2,,
hemlock,,,10,14,2223,3,,
hemlock,,,10,16,222222,2,,
hemlock,,,10,19,222222,2,,
hard maple,,,9,15,235239,3,,
yellow birch,,,23,16,22239,2,,
hard maple,,,9,14,222239,3,,
hemlock,,,10,21,222229,3,,
spruce,,,18,15,2222222,2,,
spruce,,,18,20,22222222,2,,
hemlock,,,10,18,229,3,,
hemlock,,,10,12,229,3,,
yellow birch,,,23,15,1229,2,,
yellow birch,,,23,11,22239,3,,
hemlock,,,10,18,2229,3,,
hemlock,,,10,13,229,3,,
soft maple,,,17,22,22229,2,,
hemlock,,,10,19,22229,3,,
hemlock,,,10,17,2229,3,,
hemlock,,42,10,21,29,3,,
spruce,,,18,12,222222,2,,
hard maple,,,9,21,9,5,,
yellow birch,,,23,40,9,5,,
hemlock,,,10,16,22222,3,,
hard maple,,,9,19,3239,3,,
hemlock,,,10,12,222,2,,
hard maple,,,9,22,6639,5,,
white pine,,43,22,22,2222222222,2,,
fir,,,3,12,2222222,2,,
ash,,,1,18,2239,2,,
ash,,,1,9,2229,2,,
ash,,,1,12,2239,3,,
white pine,,,22,21,22322222,3,,
ash,,,1,10,22229,3,,
ash,,,1,11,229,3,,
white pine,,,22,27,22522,3,,
ash,,,1,10,52239,3,,
ash,,,1,11,522339,3,,
ash,,,1,12,12229,2,,
paper birch,,,13,13,229,3,,
hard maple,,,9,7,1112,2,,
ash,,,1,14,12239,3,,
paper birch,,,13,13,119,2,,
white pine,,,22,26,2222222222,2,,
ash,,33,1,6,9,6,,
ash,,,1,11,2229,2,,
spruce,,,18,8,2222,2,,
ash,,,1,8,29,3,,
aspen,,,2,11,22222,3,,
spruce,,,18,10,22222222,2,,
spruce,,,18,7,222222,3,,
spruce,,,18,12,22222222,2,,
ash,,,1,12,229,3,,
hard maple,,,9,11,239,3,,
ash,,,1,12,222239,2,,
soft maple,,,17,14,229,3,,
ash,,,1,10,23229,3,,
hard maple,,,9,10,2229,3,,
hard maple,,,9,22,9,5,,
white pine,,,22,19,222222222,2,,
hard maple,,,9,32,9,5,,
hard maple,,32,9,9,32239,3,,
hard maple,,,9,8,1229,2,,
spruce,,,18,14,2222222,2,,
hemlock,,,10,10,222,3,,
hemlock,,,10,16,2222222,3,,
hemlock,,,10,16,222222,3,,
ash,,,1,14,3239,3,,
hemlock,,,10,6,2222,2,,
spruce,,,18,13,2222222,2,,
hemlock,,,10,13,22222,3,,
hard maple,,,9,10,3222,3,,
hemlock,,,10,17,222222,3,,
hard maple,,,9,10,9,5,,
hard maple,,,9,11,22322,2,,
yellow birch,,,23,14,2239,3,,
hemlock,,,10,17,2222,3,,
hard maple,1,22,9,24,9,5,,
hard maple,,,9,16,32339,3,,
hard maple,,,9,20,25239,3,,
hard maple,,,9,16,239,3,,
hard maple,,,9,16,22329,2,,
hard maple,,,9,21,2339,3,,
hard maple,,,9,26,3339,5,,
ash,,,1,12,222222,2,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,gry birch
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
